"id (S)","confidence (N)","urlimg (S)","urlvideo (S)","word (S)"
"1","94.0052337646484375","https://mybucketvideos.s3.amazonaws.com/video1/1_img1.png","https://mybucketvideos.s3.amazonaws.com/video1.mp4","Person"
"10","99.7047576904296875","https://mybucketvideos.s3.amazonaws.com/video3/3_img1.png","https://mybucketvideos.s3.amazonaws.com/video3.mp4","Person"
"11","98.2947235107421875","https://mybucketvideos.s3.amazonaws.com/video3/3_img1.png","https://mybucketvideos.s3.amazonaws.com/video3.mp4","Field"
"12","97.6290283203125","https://mybucketvideos.s3.amazonaws.com/video3/3_img8.png","https://mybucketvideos.s3.amazonaws.com/video3.mp4","Nature"
"13","94.76967620849609375","https://mybucketvideos.s3.amazonaws.com/video4/4_img3.png","https://mybucketvideos.s3.amazonaws.com/video4.mp4","Water"
"14","94.7344970703125","https://mybucketvideos.s3.amazonaws.com/video4/4_img3.png","https://mybucketvideos.s3.amazonaws.com/video4.mp4","Nature"
"15","99.6351165771484375","https://mybucketvideos.s3.amazonaws.com/video4/4_img5.png","https://mybucketvideos.s3.amazonaws.com/video4.mp4","Person"
"16","99.57305908203125","https://mybucketvideos.s3.amazonaws.com/video4/4_img6.png","https://mybucketvideos.s3.amazonaws.com/video4.mp4","Human"
"17","91.0492706298828125","https://mybucketvideos.s3.amazonaws.com/video4/4_img7.png","https://mybucketvideos.s3.amazonaws.com/video4.mp4","Outdoors"
"2","91.7445220947265625","https://mybucketvideos.s3.amazonaws.com/video1/1_img1.png","https://mybucketvideos.s3.amazonaws.com/video1.mp4","Transportation"
"3","92.493560791015625","https://mybucketvideos.s3.amazonaws.com/video1/1_img3.png","https://mybucketvideos.s3.amazonaws.com/video1.mp4","Vehicle"
"4","97.70455169677734375","https://mybucketvideos.s3.amazonaws.com/video1/1_img4.png","https://mybucketvideos.s3.amazonaws.com/video1.mp4","Boat"
"5","96.78687286376953125","https://mybucketvideos.s3.amazonaws.com/video1/1_img5.png","https://mybucketvideos.s3.amazonaws.com/video1.mp4","Barge"
"6","97.348052978515625","https://mybucketvideos.s3.amazonaws.com/video1/1_img6.png","https://mybucketvideos.s3.amazonaws.com/video1.mp4","Human"
"7","98.08722686767578125","https://mybucketvideos.s3.amazonaws.com/video1/1_img10.png","https://mybucketvideos.s3.amazonaws.com/video1.mp4","Airport"
"8","90.569671630859375","https://mybucketvideos.s3.amazonaws.com/video2/2_img7.png","https://mybucketvideos.s3.amazonaws.com/video2.mp4","Animal"
"9","91.90402984619140625","https://mybucketvideos.s3.amazonaws.com/video2/2_img8.png","https://mybucketvideos.s3.amazonaws.com/video2.mp4","Mammal"
